,text,label
0,"<article class=""NewsEndMain_comp_news_article__wMpnW _article_body"" id=""comp_news_article""><div class=""_article_content""><div class=""dp-image-container""><span class=""end_photo_org""><span class=""NewsEndMain_article_image__SwnGO""><span class=""NewsEndMain_image_wrap__djL-o""><img alt="""" src=""https://imgnews.pstatic.net/image/213/2024/09/04/0001308349_001_20240904212818544.jpg?type=w647""/></span></span></span></div>",3
1,"<div class=""dp-image-container""><span class=""end_photo_org""><span class=""NewsEndMain_article_image__SwnGO""><span class=""NewsEndMain_image_wrap__djL-o""><img alt="""" src=""https://imgnews.pstatic.net/image/213/2024/09/04/0001308349_002_20240904212818596.jpg?type=w647""/></span></span></span></div>",3
2,<div>배우 겸 영화 제작사 셀마 헤이엑(58)이 생일을 맞이해 수영복 자태를 뽐냈다.</div>,3
3,"<div>2일(현지 시간), 배우 셀마 헤이엑이 수영복을 입고 촬영한 사진 18장을 공개하며, 58번째 생일을 기념했다.</div>",3
4,"<div>이날 셀마 헤이엑은 ""생일 비키니 덤프. 나의 58번째 생일을 축하한다""며 ""이 사진은 모두 과거 사진이 아니다""라는 글을 게시했다.</div>",3
5,"<div>공개된 사진에서 셀마 헤이엑은 화려한 색감이 돋보이는 줄무늬 수영복, 빨간색 수영복, 꽃무늬 수영복 등 다양한 디자인의 수영복을 완벽하게 소화했다. 그의 군살 없는 몸매는 많은 이의 부러움을 받았다.</div>",3
6,"<div>셀마 헤이엑은 요트 위에서 과감한 포즈를 취하며, 시선을 사로잡았다. 그는 난간에 앉아 바람을 만끽하고, 운전석에 앉으며 여유로운 생일을 맞이했다.</div>",3
7,"<div>셀마 헤이엑의 게시물은 많은 관심을 받으며, 게시 이틀 만에 '좋아요' 139만 개를 기록했다. 누리꾼은 ""58세인 게 믿기지 않는다. 20대, 30대 여성보다 훨씬 멋있다"", ""58세가 아니라 28세 같다"", ""58세 몸매가 아니다. 대단하다"" 등의 반응을 보였다.</div>",3
8,"<div>한편, 멕시코 출신인 셀마 헤이엑은 지난 1989년 멕시코 드라마에 출연하며 배우 경력을 시작했다. 이후 영화 '데스페라도', '황혼에서 새벽까지', '이터널스', '하우스 오브 구찌' 등에 출연하며 이름을 알렸다.</div>",3
9,"<div>셀마 헤이엑은 지난 2009년 명품 브랜드 '구찌', '발렌시아가', '생 로랑' 등을 소유한 기업 케링의 창업자 프랑소와 앙리 피노와 결혼했다. 두 사람 슬하에는 두 명의 자녀가 있는 것으로 알려졌다. </div>",3
